#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
4.000000e+00   4.727049e+02   7.654349e+00   3.766621e+01   2.691048e+01   3.460795e+00   -1.347940e+00   -1.305157e-02   -1.637444e-02   2.093957e-02
4.000000e+00   4.725277e+02   8.057634e+00   3.766617e+01   2.691030e+01   3.701372e+00   -1.420907e+00   -1.405126e-01   -6.480534e-01   6.631116e-01
4.000000e+00   4.724244e+02   8.576450e+00   3.766616e+01   2.691023e+01   3.198087e+00   -1.262226e+00   -1.986020e-01   -9.127550e-01   9.341115e-01
4.000000e+00   4.722686e+02   8.834365e+00   3.766601e+01   2.691016e+01   3.628063e+00   -1.399187e+00   -7.222280e-01   -1.144049e+00   1.352946e+00
4.000000e+00   4.723370e+02   9.082744e+00   3.766626e+01   2.691020e+01   3.751537e+00   -1.435523e+00   1.645339e-01   -1.017566e+00   1.030783e+00
4.000000e+00   4.722616e+02   9.196822e+00   3.766637e+01   2.691020e+01   3.423811e+00   -1.336275e+00   5.743121e-01   -1.004167e+00   1.156799e+00
4.000000e+00   4.722752e+02   9.399069e+00   3.766617e+01   2.691016e+01   3.311290e+00   -1.299993e+00   -1.581327e-01   -1.156428e+00   1.167190e+00
4.000000e+00   4.722136e+02   9.752035e+00   3.766600e+01   2.691023e+01   3.789478e+00   -1.446448e+00   -7.706928e-01   -9.088289e-01   1.191611e+00
4.000000e+00   4.722331e+02   1.002616e+01   3.766605e+01   2.691034e+01   4.044576e+00   -1.517183e+00   -5.997689e-01   -5.091499e-01   7.867378e-01
4.000000e+00   4.720455e+02   1.055622e+01   3.766621e+01   2.691048e+01   3.759986e+00   -1.437966e+00   0.000000e+00   0.000000e+00   0.000000e+00
