#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.000000e+00   3.738484e+01   2.627189e+01   1.212643e+01   -2.709332e+00   -9.620913e-04   -1.046712e+00   1.046712e+00
7.000000e+00   3.738469e+01   2.627211e+01   1.274783e+01   -2.763591e+00   -5.646812e-01   -2.488957e-01   6.171012e-01
7.000000e+00   3.738492e+01   2.627200e+01   1.230898e+01   -2.725555e+00   2.673780e-01   -6.560779e-01   7.084696e-01
7.000000e+00   3.738487e+01   2.627223e+01   1.166516e+01   -2.667226e+00   9.502133e-02   1.715966e-01   1.961491e-01
7.000000e+00   3.738476e+01   2.627214e+01   1.296817e+01   -2.782197e+00   -3.128455e-01   -1.375162e-01   3.417353e-01
7.000000e+00   3.738484e+01   2.627231e+01   1.272263e+01   -2.761442e+00   4.487131e-03   4.826001e-01   4.826210e-01
7.000000e+00   3.738489e+01   2.627223e+01   1.279529e+01   -2.767626e+00   1.717583e-01   1.663850e-01   2.391336e-01
7.000000e+00   3.738484e+01   2.627226e+01   1.135573e+01   -2.638038e+00   -6.669561e-03   2.922484e-01   2.923245e-01
7.000000e+00   3.738482e+01   2.627233e+01   1.219161e+01   -2.715153e+00   -7.995995e-02   5.392144e-01   5.451107e-01
8.000000e+00   3.738484e+01   2.627218e+01   1.072328e+01   -2.575819e+00   0.000000e+00   0.000000e+00   0.000000e+00
