#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
8.200000e+01   3.640215e+01   2.652954e+01   3.466099e+00   -1.349602e+00   -6.325737e-01   -2.271970e+00   2.358389e+00
8.600000e+01   3.640228e+01   2.652961e+01   4.035068e+00   -1.514627e+00   -1.918184e-01   -2.024970e+00   2.034035e+00
8.400000e+01   3.640219e+01   2.652968e+01   3.869674e+00   -1.469186e+00   -4.861921e-01   -1.787651e+00   1.852587e+00
8.800000e+01   3.640216e+01   2.652958e+01   4.665174e+00   -1.672170e+00   -6.132013e-01   -2.115595e+00   2.202671e+00
8.400000e+01   3.640222e+01   2.652961e+01   4.614762e+00   -1.660373e+00   -3.993509e-01   -2.030220e+00   2.069124e+00
8.600000e+01   3.640239e+01   2.652973e+01   4.620732e+00   -1.661777e+00   2.031781e-01   -1.593439e+00   1.606340e+00
8.400000e+01   3.640226e+01   2.652968e+01   4.342306e+00   -1.594301e+00   -2.526308e-01   -1.764931e+00   1.782920e+00
8.600000e+01   3.640224e+01   2.652993e+01   4.355390e+00   -1.597568e+00   -3.158742e-01   -8.766456e-01   9.318176e-01
8.600000e+01   3.640217e+01   2.652985e+01   5.023917e+00   -1.752606e+00   -5.903421e-01   -1.148494e+00   1.291333e+00
8.600000e+01   3.640233e+01   2.653017e+01   4.059751e+00   -1.521249e+00   0.000000e+00   0.000000e+00   0.000000e+00
