#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
6.900000e+01   3.683050e+01   2.693620e+01   6.132914e+00   -1.969167e+00   -1.825375e-03   -4.732127e-01   4.732162e-01
7.000000e+01   3.683079e+01   2.693610e+01   6.479790e+00   -2.028902e+00   1.028654e+00   -8.263053e-01   1.319436e+00
6.900000e+01   3.683052e+01   2.693626e+01   5.857034e+00   -1.919194e+00   5.312120e-02   -2.625313e-01   2.678518e-01
7.000000e+01   3.683071e+01   2.693617e+01   5.805628e+00   -1.909623e+00   7.325593e-01   -5.948704e-01   9.436704e-01
7.200000e+01   3.683079e+01   2.693614e+01   5.604278e+00   -1.871299e+00   1.017907e+00   -6.730789e-01   1.220315e+00
7.200000e+01   3.683083e+01   2.693620e+01   4.694105e+00   -1.678882e+00   1.157682e+00   -4.846859e-01   1.255049e+00
6.700000e+01   3.683065e+01   2.693626e+01   5.007466e+00   -1.749045e+00   5.385879e-01   -2.649063e-01   6.002102e-01
7.300000e+01   3.683056e+01   2.693625e+01   5.174718e+00   -1.784717e+00   1.946795e-01   -2.874381e-01   3.471610e-01
7.000000e+01   3.683076e+01   2.693630e+01   5.497556e+00   -1.850424e+00   9.253665e-01   -1.069723e-01   9.315290e-01
7.000000e+01   3.683050e+01   2.693633e+01   4.846811e+00   -1.713640e+00   0.000000e+00   0.000000e+00   0.000000e+00
