#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.500000e+01   2.540544e+02   1.098165e+02   3.732555e+01   2.657291e+01   2.005506e+00   -7.555602e-01   3.669461e-01   -3.273799e-01   4.917591e-01
1.600000e+01   2.540140e+02   1.103154e+02   3.732552e+01   2.657309e+01   1.866747e+00   -6.777134e-01   2.330638e-01   3.116360e-01   3.891475e-01
1.600000e+01   2.539027e+02   1.108356e+02   3.732545e+01   2.657304e+01   2.060455e+00   -7.849078e-01   -1.415678e-02   1.353468e-01   1.360851e-01
1.600000e+01   2.538338e+02   1.110403e+02   3.732554e+01   2.657310e+01   2.035461e+00   -7.716568e-01   3.287971e-01   3.658130e-01   4.918604e-01
1.600000e+01   2.537883e+02   1.112495e+02   3.732573e+01   2.657291e+01   1.748548e+00   -6.066938e-01   1.008309e+00   -3.454703e-01   1.065851e+00
1.600000e+01   2.537265e+02   1.114410e+02   3.732571e+01   2.657301e+01   1.468913e+00   -4.174902e-01   9.280785e-01   4.839485e-02   9.293394e-01
1.500000e+01   2.537942e+02   1.117016e+02   3.732541e+01   2.657315e+01   1.733842e+00   -5.975238e-01   -1.580859e-01   5.459939e-01   5.684193e-01
1.600000e+01   2.537123e+02   1.119253e+02   3.732551e+01   2.657310e+01   1.704913e+00   -5.792557e-01   2.072016e-01   3.632473e-01   4.181879e-01
1.600000e+01   2.537027e+02   1.122168e+02   3.732552e+01   2.657311e+01   1.599672e+00   -5.100772e-01   2.300883e-01   3.989412e-01   4.605374e-01
1.500000e+01   2.533576e+02   1.127831e+02   3.732545e+01   2.657300e+01   1.566483e+00   -4.873139e-01   0.000000e+00   0.000000e+00   0.000000e+00
